student_name,age,class_level,favorite_topics,weak_topics,learning_style,study_hours,goals,motivation,assessment_feedback,preferred_difficulty,attention_span,previous_grades,extracurricular,career_interest
Avery Wilson,18,13th grade,"music, computer science, mathematics, history","biology, chemistry, geography",practical problem-solving approach,6,"improve grades in biology, excel in history",enjoy understanding how things work,"demonstrates creativity in problem solving, but needs more practice with biology",challenging,21,"mathematics: A, chemistry: C",art club,technology
Casey Johnson,16,11th grade,"chemistry, geography, physics, mathematics","biology, music, literature",visual learning with diagrams and charts,17,"improve grades in literature, excel in physics",fascinated by technology and innovation,"demonstrates creativity in problem solving, but needs more practice with music",challenging,88,"geography: A, music: C",robotics club,education
Avery Davis,15,10th grade,"art, literature","physics, chemistry",visual learning with diagrams and charts,12,"improve grades in physics, excel in literature",want to become an engineer,"good at connecting concepts, but should work on time management",easy,21,"art: A, physics: C",science olympiad,education
Riley Moore,18,13th grade,"computer science, chemistry, literature, physics","history, mathematics, art",kinesthetic hands-on learning,21,"improve grades in history, excel in literature",fascinated by technology and innovation,"demonstrates creativity in problem solving, but could improve explanation clarity",easy,83,"chemistry: A, mathematics: C",robotics club,education
Casey Johnson,14,9th grade,"art, mathematics",physics,reading and writing focused,16,"improve grades in physics, excel in art",interested in medical career,"shows strong analytical thinking, but could improve explanation clarity",easy,73,"mathematics: A, physics: B-",science olympiad,engineering
Quinn Wilson,18,13th grade,"mathematics, chemistry, biology, history","physics, geography, music",kinesthetic hands-on learning,15,"improve grades in physics, excel in history",want to become an engineer,"good at connecting concepts, but could improve explanation clarity",challenging,51,"history: B+, geography: C",debate team,education
Riley Johnson,15,10th grade,"mathematics, history",computer science,kinesthetic hands-on learning,5,"improve grades in computer science, excel in history",want to become an engineer,"demonstrates creativity in problem solving, but needs to show more work in calculations",easy,38,"history: A, computer science: C+",art club,technology
Alex Moore,16,11th grade,"physics, music, chemistry","art, literature, mathematics",practical problem-solving approach,9,"improve grades in art, excel in music",love solving complex problems,"good at connecting concepts, but could improve explanation clarity",medium,54,"physics: A, art: C+",art club,engineering
Jordan Miller,15,10th grade,"chemistry, geography","history, computer science",auditory learning through discussions,19,"improve grades in computer science, excel in geography",love solving complex problems,"shows strong analytical thinking, but could improve explanation clarity",challenging,25,"chemistry: A, computer science: C+",debate team,research
Avery Taylor,17,12th grade,"mathematics, computer science, art, history",physics,mixed visual and auditory,22,"improve grades in physics, excel in mathematics",enjoy understanding how things work,"excellent understanding of mathematics, but needs more practice with physics",easy,48,"computer science: A-, physics: C",robotics club,education
Quinn Brown,18,13th grade,"physics, mathematics, music",geography,visual learning with diagrams and charts,15,"improve grades in geography, excel in physics",enjoy understanding how things work,"demonstrates creativity in problem solving, but needs to show more work in calculations",medium,23,"mathematics: A, geography: C",debate team,medicine
Morgan Taylor,16,11th grade,"geography, chemistry, mathematics","history, music, biology",reading and writing focused,22,"improve grades in music, excel in geography",want to become an engineer,"shows strong analytical thinking, but needs to show more work in calculations",easy,87,"geography: B+, biology: C+",chess club,research
Riley Davis,17,12th grade,"geography, literature, art, biology","physics, mathematics",visual learning with diagrams and charts,13,"improve grades in physics, excel in biology",want to help others through science,"shows strong analytical thinking, but needs more practice with physics",easy,50,"art: A, physics: B-",chess club,research
Riley Brown,15,10th grade,"biology, literature","geography, history, mathematics",mixed visual and auditory,11,"improve grades in history, excel in literature",interested in medical career,"excellent understanding of literature, but needs more practice with geography",easy,48,"biology: A-, mathematics: C+",science olympiad,education
Taylor Brown,15,10th grade,"literature, chemistry","mathematics, music",visual learning with diagrams and charts,21,"improve grades in music, excel in literature",love solving complex problems,"good at connecting concepts, but could improve explanation clarity",medium,37,"literature: B+, music: C",science olympiad,medicine
Morgan Brown,18,13th grade,"music, literature, biology, art","physics, computer science, chemistry",auditory learning through discussions,5,"improve grades in chemistry, excel in art",want to help others through science,"good at connecting concepts, but should work on time management",challenging,33,"art: A-, physics: B-",robotics club,medicine
Casey Davis,16,11th grade,"chemistry, physics, literature","mathematics, computer science",practical problem-solving approach,7,"improve grades in computer science, excel in physics",want to become an engineer,"excellent understanding of literature, but needs to show more work in calculations",medium,73,"chemistry: A-, computer science: C",science olympiad,education
Jordan Johnson,17,12th grade,"geography, biology",music,kinesthetic hands-on learning,5,"improve grades in music, excel in biology",want to become an engineer,"shows strong analytical thinking, but needs to show more work in calculations",easy,29,"geography: B+, music: B-",chess club,engineering
Casey Davis,17,12th grade,"chemistry, history, music, mathematics",computer science,reading and writing focused,22,"improve grades in computer science, excel in music",love solving complex problems,"excellent understanding of history, but needs to show more work in calculations",challenging,90,"mathematics: A, computer science: C",robotics club,technology
Casey Brown,14,9th grade,"music, geography, biology",mathematics,practical problem-solving approach,14,"improve grades in mathematics, excel in geography",want to become an engineer,"demonstrates creativity in problem solving, but needs to show more work in calculations",challenging,53,"music: A, mathematics: C",chess club,research
Morgan Johnson,15,10th grade,"mathematics, computer science, geography","biology, chemistry",auditory learning through discussions,8,"improve grades in biology, excel in geography",love solving complex problems,"shows strong analytical thinking, but needs more practice with chemistry",medium,86,"computer science: B+, chemistry: C+",chess club,research
Quinn Brown,14,9th grade,"mathematics, art, chemistry",music,auditory learning through discussions,11,"improve grades in music, excel in mathematics",want to become an engineer,"demonstrates creativity in problem solving, but should work on time management",challenging,38,"chemistry: A-, music: B-",robotics club,engineering
Alex Moore,17,12th grade,"history, art, literature, music","computer science, biology",visual learning with diagrams and charts,18,"improve grades in computer science, excel in art",want to help others through science,"excellent understanding of history, but could improve explanation clarity",challenging,64,"music: A-, biology: B-",chess club,education
Avery Johnson,18,13th grade,"mathematics, chemistry, computer science","biology, geography",reading and writing focused,15,"improve grades in biology, excel in mathematics",fascinated by technology and innovation,"good at connecting concepts, but needs more practice with geography",medium,58,"chemistry: A-, geography: B-",robotics club,medicine
Casey Taylor,15,10th grade,"geography, literature, computer science","biology, history, mathematics",auditory learning through discussions,18,"improve grades in mathematics, excel in literature",want to help others through science,"shows strong analytical thinking, but needs more practice with biology",medium,84,"literature: B+, biology: B-",robotics club,medicine
Alex Miller,15,10th grade,"mathematics, biology",music,practical problem-solving approach,11,"improve grades in music, excel in biology",enjoy understanding how things work,"excellent understanding of biology, but should work on time management",medium,82,"biology: A-, music: B-",art club,research
Alex Brown,16,11th grade,"computer science, physics","mathematics, literature",mixed visual and auditory,11,"improve grades in mathematics, excel in computer science",fascinated by technology and innovation,"demonstrates creativity in problem solving, but needs more practice with literature",challenging,21,"physics: B+, mathematics: C+",art club,engineering
Quinn Wilson,15,10th grade,"music, computer science, art","biology, chemistry",auditory learning through discussions,19,"improve grades in chemistry, excel in art",want to help others through science,"excellent understanding of art, but needs more practice with chemistry",challenging,67,"art: A-, chemistry: B-",robotics club,technology
Morgan Davis,14,9th grade,"computer science, literature, music","geography, art",auditory learning through discussions,21,"improve grades in geography, excel in computer science",want to help others through science,"shows strong analytical thinking, but needs more practice with art",challenging,83,"literature: A-, art: C",chess club,engineering
Riley Wilson,18,13th grade,"music, biology, literature, geography","physics, history, computer science",auditory learning through discussions,22,"improve grades in physics, excel in literature",want to become an engineer,"good at connecting concepts, but should work on time management",challenging,62,"music: A-, physics: C+",science olympiad,technology
Alex Smith,16,11th grade,"computer science, music, geography",biology,reading and writing focused,11,"improve grades in biology, excel in geography",enjoy understanding how things work,"demonstrates creativity in problem solving, but needs more practice with biology",easy,37,"computer science: A-, biology: B-",chess club,medicine
Alex Taylor,16,11th grade,"chemistry, physics, geography, music","biology, computer science, mathematics",kinesthetic hands-on learning,11,"improve grades in biology, excel in physics",enjoy understanding how things work,"demonstrates creativity in problem solving, but needs to show more work in calculations",medium,74,"music: A, computer science: C+",art club,medicine
Alex Davis,16,11th grade,"literature, art",mathematics,auditory learning through discussions,16,"improve grades in mathematics, excel in literature",want to become an engineer,"shows strong analytical thinking, but needs more practice with mathematics",easy,58,"art: B+, mathematics: B-",art club,education
Taylor Moore,16,11th grade,"chemistry, literature, geography","music, physics",visual learning with diagrams and charts,12,"improve grades in music, excel in geography",interested in medical career,"shows strong analytical thinking, but needs more practice with music",medium,24,"literature: B+, physics: B-",robotics club,education
Quinn Moore,14,9th grade,"physics, mathematics, art, literature",history,visual learning with diagrams and charts,22,"improve grades in history, excel in literature",fascinated by technology and innovation,"excellent understanding of mathematics, but could improve explanation clarity",medium,32,"art: A-, history: C+",art club,education
Casey Wilson,14,9th grade,"physics, music, geography",literature,mixed visual and auditory,11,"improve grades in literature, excel in geography",enjoy understanding how things work,"excellent understanding of music, but needs to show more work in calculations",easy,81,"music: A, literature: C+",robotics club,engineering
Casey Taylor,18,13th grade,"geography, chemistry, physics, history","mathematics, music, computer science",kinesthetic hands-on learning,13,"improve grades in music, excel in geography",want to become an engineer,"good at connecting concepts, but could improve explanation clarity",challenging,60,"history: A, computer science: C+",robotics club,engineering
Riley Brown,15,10th grade,"chemistry, literature, art, biology","computer science, mathematics, music",visual learning with diagrams and charts,17,"improve grades in mathematics, excel in biology",love solving complex problems,"demonstrates creativity in problem solving, but needs to show more work in calculations",challenging,41,"chemistry: B+, computer science: B-",robotics club,medicine
Avery Miller,14,9th grade,"music, geography, art",computer science,mixed visual and auditory,5,"improve grades in computer science, excel in geography",enjoy understanding how things work,"demonstrates creativity in problem solving, but needs more practice with computer science",easy,53,"art: A, computer science: B-",art club,education
Casey Taylor,18,13th grade,"literature, art","physics, biology, history",kinesthetic hands-on learning,25,"improve grades in biology, excel in literature",want to help others through science,"shows strong analytical thinking, but needs to show more work in calculations",medium,41,"literature: A-, biology: C+",science olympiad,research
Quinn Taylor,14,9th grade,"biology, art, history, music",mathematics,mixed visual and auditory,19,"improve grades in mathematics, excel in music",enjoy understanding how things work,"demonstrates creativity in problem solving, but needs more practice with mathematics",easy,71,"music: B+, mathematics: B-",robotics club,engineering
Alex Davis,18,13th grade,"computer science, art, biology, literature","history, chemistry, geography",reading and writing focused,15,"improve grades in geography, excel in literature",fascinated by technology and innovation,"demonstrates creativity in problem solving, but needs more practice with geography",easy,48,"computer science: A-, chemistry: B-",science olympiad,education
Avery Smith,18,13th grade,"physics, mathematics, chemistry","computer science, art",kinesthetic hands-on learning,24,"improve grades in computer science, excel in physics",want to become an engineer,"demonstrates creativity in problem solving, but should work on time management",challenging,63,"physics: A, art: B-",art club,engineering
Alex Moore,17,12th grade,"music, art, chemistry","mathematics, literature",mixed visual and auditory,20,"improve grades in mathematics, excel in chemistry",want to help others through science,"excellent understanding of music, but needs to show more work in calculations",challenging,61,"chemistry: A-, literature: B-",debate team,research
Morgan Miller,17,12th grade,"computer science, geography, chemistry",literature,practical problem-solving approach,22,"improve grades in literature, excel in computer science",interested in medical career,"good at connecting concepts, but should work on time management",challenging,42,"chemistry: B+, literature: C+",science olympiad,education
Jordan Johnson,17,12th grade,"music, history, computer science, art","mathematics, literature",reading and writing focused,9,"improve grades in mathematics, excel in music",interested in medical career,"good at connecting concepts, but could improve explanation clarity",easy,27,"computer science: B+, mathematics: C+",science olympiad,technology
Avery Moore,14,9th grade,"art, biology, history, physics","music, computer science, mathematics",reading and writing focused,15,"improve grades in mathematics, excel in art",want to become an engineer,"demonstrates creativity in problem solving, but should work on time management",challenging,67,"biology: A, mathematics: C",chess club,medicine
Alex Moore,14,9th grade,"chemistry, art",geography,kinesthetic hands-on learning,22,"improve grades in geography, excel in chemistry",interested in medical career,"good at connecting concepts, but needs to show more work in calculations",challenging,39,"chemistry: A-, geography: B-",robotics club,education
Riley Davis,16,11th grade,"music, art, literature",geography,auditory learning through discussions,21,"improve grades in geography, excel in literature",interested in medical career,"excellent understanding of art, but could improve explanation clarity",easy,47,"literature: A-, geography: C",science olympiad,medicine
Casey Johnson,18,13th grade,"geography, art, mathematics, music","biology, computer science, chemistry",practical problem-solving approach,15,"improve grades in computer science, excel in geography",enjoy understanding how things work,"good at connecting concepts, but needs more practice with chemistry",challenging,67,"music: A, computer science: C",debate team,research
Casey Davis,18,13th grade,"physics, chemistry","mathematics, geography, music",practical problem-solving approach,18,"improve grades in mathematics, excel in physics",want to help others through science,"excellent understanding of chemistry, but should work on time management",easy,78,"chemistry: A, mathematics: C+",robotics club,medicine
Avery Miller,16,11th grade,"physics, biology, computer science, art","history, music",visual learning with diagrams and charts,17,"improve grades in history, excel in physics",fascinated by technology and innovation,"excellent understanding of physics, but could improve explanation clarity",challenging,33,"computer science: B+, music: C+",science olympiad,technology
Morgan Brown,17,12th grade,"mathematics, geography, chemistry","biology, music, literature",kinesthetic hands-on learning,25,"improve grades in music, excel in mathematics",want to help others through science,"excellent understanding of chemistry, but needs more practice with biology",easy,70,"chemistry: A, literature: C",debate team,research
Morgan Davis,15,10th grade,"art, chemistry, music",physics,visual learning with diagrams and charts,10,"improve grades in physics, excel in music",enjoy understanding how things work,"good at connecting concepts, but needs more practice with physics",medium,32,"art: A-, physics: C",debate team,medicine
Riley Wilson,14,9th grade,"music, physics, biology","literature, art",practical problem-solving approach,23,"improve grades in literature, excel in biology",want to help others through science,"demonstrates creativity in problem solving, but should work on time management",easy,60,"music: B+, literature: B-",chess club,research
Morgan Taylor,16,11th grade,"literature, geography","music, chemistry",mixed visual and auditory,8,"improve grades in music, excel in literature",love solving complex problems,"good at connecting concepts, but needs more practice with music",challenging,29,"literature: B+, music: B-",chess club,education
Riley Moore,15,10th grade,"art, computer science","music, history, physics",auditory learning through discussions,23,"improve grades in physics, excel in computer science",interested in medical career,"excellent understanding of computer science, but needs to show more work in calculations",medium,84,"art: A, physics: B-",debate team,education
Alex Davis,15,10th grade,"chemistry, music, art","history, computer science, biology",reading and writing focused,12,"improve grades in history, excel in music",love solving complex problems,"shows strong analytical thinking, but could improve explanation clarity",medium,80,"music: A, history: B-",science olympiad,engineering
Morgan Moore,18,13th grade,"computer science, music, chemistry, biology","history, literature, mathematics",auditory learning through discussions,21,"improve grades in literature, excel in chemistry",love solving complex problems,"excellent understanding of biology, but should work on time management",medium,41,"music: B+, history: B-",science olympiad,medicine
Avery Miller,15,10th grade,"chemistry, literature","physics, geography, music",practical problem-solving approach,8,"improve grades in geography, excel in literature",enjoy understanding how things work,"shows strong analytical thinking, but needs to show more work in calculations",easy,51,"chemistry: B+, physics: B-",debate team,medicine
Morgan Brown,18,13th grade,"music, chemistry",biology,mixed visual and auditory,17,"improve grades in biology, excel in chemistry",want to become an engineer,"demonstrates creativity in problem solving, but needs to show more work in calculations",easy,48,"chemistry: B+, biology: C+",art club,education
Avery Brown,16,11th grade,"literature, geography","physics, music, biology",visual learning with diagrams and charts,5,"improve grades in physics, excel in geography",interested in medical career,"demonstrates creativity in problem solving, but needs more practice with physics",challenging,84,"literature: A-, physics: B-",debate team,education
Alex Moore,18,13th grade,"history, art","literature, geography",auditory learning through discussions,20,"improve grades in geography, excel in art",want to help others through science,"shows strong analytical thinking, but could improve explanation clarity",medium,49,"history: B+, geography: B-",chess club,research
Avery Davis,15,10th grade,"mathematics, art",physics,practical problem-solving approach,15,"improve grades in physics, excel in art",want to become an engineer,"good at connecting concepts, but could improve explanation clarity",challenging,74,"art: B+, physics: C",debate team,technology
Riley Moore,18,13th grade,"geography, chemistry, literature, computer science","history, biology, art",practical problem-solving approach,9,"improve grades in art, excel in geography",fascinated by technology and innovation,"shows strong analytical thinking, but needs more practice with biology",easy,85,"computer science: B+, biology: B-",robotics club,medicine
Morgan Davis,17,12th grade,"mathematics, physics, chemistry, biology","geography, computer science, art",kinesthetic hands-on learning,7,"improve grades in art, excel in mathematics",fascinated by technology and innovation,"good at connecting concepts, but needs more practice with computer science",easy,83,"biology: A, geography: B-",art club,research
Alex Miller,15,10th grade,"music, art","biology, computer science, physics",auditory learning through discussions,25,"improve grades in biology, excel in music",want to become an engineer,"good at connecting concepts, but needs to show more work in calculations",medium,45,"music: B+, physics: C+",robotics club,education
Casey Taylor,16,11th grade,"art, literature, music, history","physics, computer science",reading and writing focused,23,"improve grades in physics, excel in music",interested in medical career,"excellent understanding of history, but could improve explanation clarity",medium,34,"music: B+, computer science: C",chess club,education
Quinn Smith,17,12th grade,"literature, geography","music, computer science, mathematics",kinesthetic hands-on learning,7,"improve grades in computer science, excel in literature",fascinated by technology and innovation,"demonstrates creativity in problem solving, but could improve explanation clarity",challenging,88,"literature: A-, mathematics: C+",science olympiad,engineering
Morgan Brown,17,12th grade,"literature, physics, chemistry, biology","history, computer science",practical problem-solving approach,11,"improve grades in computer science, excel in physics",interested in medical career,"shows strong analytical thinking, but should work on time management",easy,51,"chemistry: A, history: C+",robotics club,technology
Riley Taylor,18,13th grade,"art, mathematics","history, literature",mixed visual and auditory,13,"improve grades in literature, excel in art",want to help others through science,"shows strong analytical thinking, but should work on time management",easy,87,"mathematics: B+, literature: C+",art club,research
Alex Davis,17,12th grade,"chemistry, geography, physics, literature","history, computer science, mathematics",reading and writing focused,23,"improve grades in history, excel in physics",love solving complex problems,"good at connecting concepts, but should work on time management",medium,80,"physics: A, computer science: C",chess club,medicine
Taylor Davis,17,12th grade,"literature, music, history, chemistry","physics, geography",visual learning with diagrams and charts,13,"improve grades in physics, excel in chemistry",enjoy understanding how things work,"shows strong analytical thinking, but needs to show more work in calculations",easy,42,"chemistry: A, geography: B-",art club,education
Taylor Johnson,16,11th grade,"computer science, music, mathematics","physics, geography",auditory learning through discussions,13,"improve grades in geography, excel in mathematics",want to become an engineer,"good at connecting concepts, but could improve explanation clarity",medium,52,"music: A-, physics: C+",science olympiad,education
Quinn Taylor,15,10th grade,"music, art, chemistry, history","biology, geography",visual learning with diagrams and charts,17,"improve grades in geography, excel in history",fascinated by technology and innovation,"good at connecting concepts, but needs to show more work in calculations",challenging,71,"music: A, biology: C",debate team,research
Quinn Moore,16,11th grade,"computer science, music, history, chemistry","biology, geography",auditory learning through discussions,10,"improve grades in biology, excel in music",fascinated by technology and innovation,"excellent understanding of music, but should work on time management",easy,70,"computer science: A, biology: C",art club,engineering
Jordan Moore,14,9th grade,"art, physics, music","literature, chemistry",kinesthetic hands-on learning,12,"improve grades in literature, excel in music",love solving complex problems,"shows strong analytical thinking, but should work on time management",easy,24,"music: A-, chemistry: C",chess club,education
Morgan Miller,16,11th grade,"geography, chemistry, art, computer science","literature, history, music",reading and writing focused,22,"improve grades in literature, excel in geography",enjoy understanding how things work,"demonstrates creativity in problem solving, but could improve explanation clarity",easy,58,"geography: B+, literature: C+",science olympiad,research
Morgan Davis,17,12th grade,"mathematics, geography, art, chemistry",literature,visual learning with diagrams and charts,22,"improve grades in literature, excel in geography",enjoy understanding how things work,"shows strong analytical thinking, but should work on time management",challenging,69,"chemistry: A-, literature: C+",chess club,medicine
Taylor Brown,18,13th grade,"computer science, music, art, biology",mathematics,kinesthetic hands-on learning,8,"improve grades in mathematics, excel in biology",love solving complex problems,"good at connecting concepts, but needs more practice with mathematics",easy,26,"computer science: A, mathematics: C",science olympiad,medicine
Casey Miller,17,12th grade,"mathematics, biology, physics, geography",history,reading and writing focused,14,"improve grades in history, excel in physics",enjoy understanding how things work,"excellent understanding of mathematics, but should work on time management",easy,54,"geography: B+, history: C",debate team,medicine
Casey Johnson,16,11th grade,"mathematics, physics, biology","music, history",auditory learning through discussions,19,"improve grades in music, excel in biology",fascinated by technology and innovation,"demonstrates creativity in problem solving, but could improve explanation clarity",medium,40,"biology: B+, music: B-",art club,engineering
Casey Smith,16,11th grade,"computer science, biology, literature",music,auditory learning through discussions,25,"improve grades in music, excel in biology",want to become an engineer,"excellent understanding of computer science, but needs to show more work in calculations",easy,21,"computer science: B+, music: B-",debate team,research
Alex Johnson,14,9th grade,"chemistry, geography",history,kinesthetic hands-on learning,25,"improve grades in history, excel in chemistry",interested in medical career,"good at connecting concepts, but could improve explanation clarity",medium,44,"chemistry: A-, history: B-",debate team,research
Taylor Miller,14,9th grade,"geography, art, computer science","history, biology, physics",kinesthetic hands-on learning,19,"improve grades in biology, excel in computer science",want to help others through science,"shows strong analytical thinking, but needs to show more work in calculations",medium,53,"computer science: A-, biology: C+",art club,technology
Jordan Moore,15,10th grade,"music, literature","biology, chemistry, history",auditory learning through discussions,21,"improve grades in history, excel in literature",want to help others through science,"good at connecting concepts, but could improve explanation clarity",medium,61,"music: B+, biology: B-",robotics club,engineering
Casey Smith,15,10th grade,"mathematics, biology",music,visual learning with diagrams and charts,23,"improve grades in music, excel in biology",want to help others through science,"good at connecting concepts, but should work on time management",challenging,29,"mathematics: B+, music: C",robotics club,technology
Alex Smith,14,9th grade,"art, history, literature","mathematics, computer science, chemistry",kinesthetic hands-on learning,7,"improve grades in mathematics, excel in literature",want to become an engineer,"shows strong analytical thinking, but needs to show more work in calculations",easy,44,"literature: A, chemistry: B-",debate team,education
Taylor Brown,18,13th grade,"physics, literature, geography","art, computer science, mathematics",mixed visual and auditory,17,"improve grades in mathematics, excel in literature",fascinated by technology and innovation,"demonstrates creativity in problem solving, but could improve explanation clarity",medium,90,"literature: A-, computer science: B-",chess club,research
Morgan Miller,18,13th grade,"music, art",history,reading and writing focused,19,"improve grades in history, excel in music",fascinated by technology and innovation,"excellent understanding of music, but should work on time management",medium,20,"art: A, history: C",robotics club,research
Taylor Wilson,18,13th grade,"art, chemistry, physics, mathematics","literature, computer science",kinesthetic hands-on learning,23,"improve grades in literature, excel in chemistry",love solving complex problems,"demonstrates creativity in problem solving, but should work on time management",challenging,29,"physics: A, computer science: C",art club,engineering
Riley Moore,18,13th grade,"computer science, mathematics, history, art",biology,reading and writing focused,8,"improve grades in biology, excel in computer science",fascinated by technology and innovation,"good at connecting concepts, but needs more practice with biology",medium,89,"mathematics: B+, biology: B-",debate team,medicine
Taylor Brown,14,9th grade,"history, geography, physics, art","biology, computer science",kinesthetic hands-on learning,7,"improve grades in computer science, excel in history",want to help others through science,"excellent understanding of art, but needs to show more work in calculations",challenging,75,"geography: A-, biology: B-",debate team,technology
Avery Miller,17,12th grade,"music, biology, art, physics",computer science,practical problem-solving approach,23,"improve grades in computer science, excel in music",fascinated by technology and innovation,"good at connecting concepts, but could improve explanation clarity",easy,61,"art: A-, computer science: C+",science olympiad,education
Riley Brown,17,12th grade,"chemistry, geography, mathematics, history",biology,practical problem-solving approach,7,"improve grades in biology, excel in chemistry",interested in medical career,"excellent understanding of geography, but could improve explanation clarity",challenging,34,"mathematics: A-, biology: C+",science olympiad,medicine
Taylor Johnson,18,13th grade,"biology, art","literature, music, computer science",reading and writing focused,23,"improve grades in computer science, excel in biology",love solving complex problems,"good at connecting concepts, but should work on time management",challenging,54,"biology: B+, music: C+",robotics club,technology
Jordan Miller,16,11th grade,"literature, physics, mathematics, chemistry","geography, computer science, music",reading and writing focused,24,"improve grades in music, excel in literature",interested in medical career,"demonstrates creativity in problem solving, but needs more practice with music",easy,51,"mathematics: A-, computer science: C",debate team,engineering
Avery Johnson,16,11th grade,"literature, music, computer science, physics","biology, mathematics, art",mixed visual and auditory,13,"improve grades in biology, excel in music",love solving complex problems,"shows strong analytical thinking, but needs more practice with art",challenging,68,"music: A, mathematics: B-",debate team,technology
Taylor Wilson,16,11th grade,"literature, geography, chemistry, physics","biology, art, music",practical problem-solving approach,21,"improve grades in biology, excel in physics",interested in medical career,"excellent understanding of geography, but needs more practice with art",easy,60,"geography: A, music: C",chess club,technology
Taylor Johnson,16,11th grade,"computer science, chemistry, biology",physics,mixed visual and auditory,24,"improve grades in physics, excel in biology",want to help others through science,"shows strong analytical thinking, but should work on time management",challenging,23,"chemistry: B+, physics: C",debate team,education
Taylor Davis,18,13th grade,"literature, chemistry, history","computer science, physics",auditory learning through discussions,6,"improve grades in physics, excel in literature",love solving complex problems,"shows strong analytical thinking, but should work on time management",easy,42,"chemistry: B+, physics: C",chess club,medicine
Alex Smith,17,12th grade,"mathematics, history, literature","geography, art",reading and writing focused,19,"improve grades in geography, excel in mathematics",want to help others through science,"excellent understanding of literature, but needs to show more work in calculations",challenging,26,"mathematics: A-, art: C",science olympiad,research
Taylor Taylor,17,12th grade,"history, computer science","mathematics, geography, literature",practical problem-solving approach,19,"improve grades in mathematics, excel in history",interested in medical career,"demonstrates creativity in problem solving, but could improve explanation clarity",medium,23,"history: B+, geography: B-",debate team,technology
Quinn Miller,14,9th grade,"literature, chemistry, physics",mathematics,visual learning with diagrams and charts,21,"improve grades in mathematics, excel in physics",want to help others through science,"demonstrates creativity in problem solving, but needs to show more work in calculations",easy,41,"chemistry: A, mathematics: C+",debate team,engineering
Casey Johnson,17,12th grade,"computer science, geography, music","physics, mathematics, art",mixed visual and auditory,13,"improve grades in physics, excel in geography",enjoy understanding how things work,"excellent understanding of geography, but needs to show more work in calculations",easy,47,"music: A-, art: C",chess club,technology
Casey Johnson,14,9th grade,"music, mathematics, biology, computer science","geography, art",auditory learning through discussions,9,"improve grades in geography, excel in biology",want to become an engineer,"good at connecting concepts, but could improve explanation clarity",easy,26,"music: A, art: C+",science olympiad,education
Morgan Miller,18,13th grade,"art, chemistry, geography, literature","biology, mathematics, history",kinesthetic hands-on learning,17,"improve grades in biology, excel in literature",want to help others through science,"demonstrates creativity in problem solving, but should work on time management",easy,55,"geography: A-, history: B-",debate team,medicine
Morgan Moore,18,13th grade,"physics, art",music,mixed visual and auditory,15,"improve grades in music, excel in art",interested in medical career,"demonstrates creativity in problem solving, but should work on time management",challenging,49,"art: A, music: C+",robotics club,technology
Casey Johnson,14,9th grade,"biology, history, art, mathematics","computer science, geography",practical problem-solving approach,11,"improve grades in geography, excel in art",want to become an engineer,"good at connecting concepts, but needs more practice with geography",easy,62,"art: B+, geography: B-",art club,engineering
Taylor Taylor,15,10th grade,"literature, music","art, biology, mathematics",auditory learning through discussions,25,"improve grades in biology, excel in music",enjoy understanding how things work,"excellent understanding of music, but could improve explanation clarity",challenging,60,"literature: B+, art: B-",science olympiad,research
Taylor Moore,14,9th grade,"computer science, mathematics","art, geography",auditory learning through discussions,24,"improve grades in art, excel in mathematics",fascinated by technology and innovation,"good at connecting concepts, but needs to show more work in calculations",easy,83,"computer science: A-, geography: C",debate team,education
Jordan Taylor,16,11th grade,"physics, literature",computer science,mixed visual and auditory,5,"improve grades in computer science, excel in physics",interested in medical career,"good at connecting concepts, but could improve explanation clarity",easy,32,"physics: B+, computer science: C+",chess club,technology
Riley Taylor,18,13th grade,"mathematics, computer science",chemistry,visual learning with diagrams and charts,8,"improve grades in chemistry, excel in mathematics",want to help others through science,"good at connecting concepts, but should work on time management",easy,56,"computer science: A-, chemistry: B-",robotics club,research
Casey Miller,15,10th grade,"computer science, physics",chemistry,mixed visual and auditory,15,"improve grades in chemistry, excel in computer science",fascinated by technology and innovation,"shows strong analytical thinking, but needs more practice with chemistry",medium,63,"physics: A, chemistry: C+",chess club,engineering
Quinn Miller,14,9th grade,"mathematics, physics, history","biology, art",kinesthetic hands-on learning,15,"improve grades in biology, excel in history",fascinated by technology and innovation,"demonstrates creativity in problem solving, but should work on time management",easy,79,"mathematics: A-, art: B-",chess club,technology
Riley Miller,15,10th grade,"chemistry, computer science","art, physics",reading and writing focused,20,"improve grades in art, excel in chemistry",enjoy understanding how things work,"demonstrates creativity in problem solving, but needs to show more work in calculations",easy,56,"computer science: B+, art: C+",chess club,engineering
Taylor Taylor,16,11th grade,"physics, computer science, geography, biology","history, chemistry, art",reading and writing focused,7,"improve grades in chemistry, excel in computer science",fascinated by technology and innovation,"good at connecting concepts, but should work on time management",easy,29,"biology: B+, history: B-",chess club,research
Jordan Moore,18,13th grade,"geography, chemistry","art, mathematics",kinesthetic hands-on learning,20,"improve grades in art, excel in geography",interested in medical career,"shows strong analytical thinking, but should work on time management",medium,88,"chemistry: B+, mathematics: B-",chess club,medicine
Avery Brown,15,10th grade,"literature, computer science, art, biology","chemistry, mathematics, geography",kinesthetic hands-on learning,6,"improve grades in mathematics, excel in literature",want to become an engineer,"good at connecting concepts, but needs more practice with chemistry",easy,75,"biology: A-, geography: B-",chess club,technology
